,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
115,107,Jarrett Culver,MIN,21,63,19,44,23.9,106.0,109.3,-3.3,10.5,1.36,13.5,4.1,9.2,6.5,10.0,46.2,46.7,18.7,105.22,5.5
116,107,Jerome Robinson,WAS,23,63,36,27,15.5,105.0,106.0,-1.0,12.3,1.78,18.5,1.2,11.0,6.0,10.4,45.0,47.6,15.5,107.76,5.0
117,107,Lonzo Ball,NOP,22,63,26,37,32.1,109.6,110.3,-0.7,29.2,2.27,32.4,3.2,14.2,8.7,14.3,51.1,51.7,18.1,104.82,10.1
118,107,Montrezl Harrell,LAC,26,63,44,19,27.8,112.3,105.8,6.5,10.2,0.99,9.2,8.9,14.1,11.6,9.3,58.0,60.7,24.5,104.73,14.5
119,107,Steven Adams,OKC,26,63,40,23,26.7,111.2,106.7,4.4,12.8,1.55,18.1,12.8,21.4,17.3,11.6,59.3,60.4,16.8,100.64,13.6
120,107,Terry Rozier,CHA,26,63,21,42,34.4,104.5,113.4,-9.0,20.9,1.84,18.4,2.2,10.7,6.2,10.0,51.4,55.3,23.2,96.62,10.3
121,107,Trey Lyles,SAS,24,63,27,36,20.2,111.3,113.7,-2.4,7.2,1.77,14.7,5.6,22.8,14.2,8.3,54.1,55.7,13.6,100.81,8.8
122,123,Aaron Gordon,ORL,24,62,30,32,32.5,108.6,109.7,-1.2,16.5,2.28,19.1,5.0,18.1,11.4,8.4,48.4,51.6,20.5,99.72,10.4
123,123,Anthony Davis,LAL,27,62,46,16,34.4,111.3,106.4,5.0,15.3,1.30,12.0,6.5,19.7,13.1,9.3,53.6,61.0,28.4,102.47,17.9
124,123,Brandon Ingram,NOP,22,62,25,37,33.9,110.0,111.3,-1.3,19.2,1.37,15.3,2.3,14.4,8.4,11.2,53.1,58.7,27.5,105.01,13.0
125,123,Chris Boucher,TOR,27,62,45,17,13.2,109.4,103.8,5.7,4.9,0.93,6.5,12.1,18.5,15.4,6.9,53.5,58.7,18.5,102.61,12.8
126,123,Christian Wood,DET,24,62,20,42,21.4,110.8,108.8,2.0,7.4,0.71,8.0,7.9,21.4,14.7,11.1,62.0,65.9,22.3,99.54,15.3
127,123,Danilo Gallinari,OKC,31,62,37,25,29.6,116.9,111.2,5.7,9.9,1.57,10.5,2.0,15.7,9.0,6.7,54.7,61.2,24.2,99.20,13.0
128,123,Domantas Sabonis,IND,24,62,37,25,34.8,109.9,106.8,3.1,21.5,1.82,21.3,8.9,26.2,17.7,11.7,55.0,58.6,22.9,99.02,15.6
