,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
361,Maurice Harkless,NYK,62,39,23,23.0,5.8,24.2,12.2,0.8,1.89,0.96,0.238,0.4,0.3,2.0,0.385,0.333,0.869
362,Max Strus,CHI,2,0,2,3.1,2.5,4.0,3.5,0.1,0.98,0.25,0.625,0.5,0.0,0.5,2.000,0.000,2.000
363,Maxi Kleber,DAL,72,40,32,25.4,9.2,36.5,21.1,0.7,1.20,0.29,0.252,0.9,0.2,2.8,0.921,0.364,0.867
364,Melvin Frazier Jr.,ORL,19,6,13,6.6,2.1,5.3,3.4,0.2,2.58,1.82,0.400,0.2,0.0,0.1,0.667,0.000,1.000
365,Meyers Leonard,MIA,51,34,17,20.3,6.1,29.7,16.4,0.9,1.75,0.34,0.204,1.3,0.6,1.8,0.297,0.433,0.872
366,Mfiondu Kabengele,LAC,12,9,3,5.4,3.5,8.8,5.3,0.2,1.69,0.71,0.400,0.3,0.3,0.8,1.000,0.000,1.333
367,Michael Carter-Williams,ORL,45,21,24,18.5,7.2,29.8,15.0,2.1,4.28,3.72,0.241,0.4,0.1,1.4,0.778,0.000,0.460
368,Michael Frazier,HOU,13,7,6,11.1,2.1,8.9,5.4,0.3,2.12,1.38,0.233,0.2,0.0,0.5,1.000,0.000,0.833
369,Michael Kidd-Gilchrist,DAL,24,11,13,11.6,2.5,14.8,8.4,0.5,1.83,1.12,0.169,0.4,0.1,0.8,0.444,0.000,0.737
370,Michael Porter Jr.,DEN,55,36,19,16.4,9.3,23.0,13.4,0.8,2.11,1.09,0.404,0.6,0.4,2.5,0.788,0.900,1.044
